Unnamed: 0,rating,userName,title,isEdited,date,review,developerResponse,sentiment
10,2,Balleng6,Lots of guys too far away,False,2018-07-13 15:11:28,It seems that my profile attracts people from Africa and the Caribbean who seem to have no money and wish me to open bank accounts and other items to help them in their quest to gain their inheritance even had one guy state that he was in the Air Force and Afghanistan and got a large reward for helping a sultan save his family then he pulled the trick Of trying to have me give some person $5520 just to get his Reward back to the United States Think there are lots of scammers on the site so beware,,2
11,1,Neo King Serenity,Never fair,False,2017-11-14 23:08:19,So as we know many of these apps are created by gay men. The set up their rules and standards. Grindr is another like this. So you have probably some gay dude who only allows what he thinks as hot and sexy to post full body in only underwear showing but if someone who isn’t ripped who does a full body in underwear they violate the rules. I went through and sound countless sexually explicit photos for public view. Also so note these explicit photos were of really hot guys. Well I guess that the biz if you want to attract guys to your app you need to put the meat out there. Hornet your no different than Grindr. Whoever is approving the profiles and photos is probably jerking off to the hot guys and denying the average guy to post similar pics.,,2
12,1,wadesterk,"Bots, Bots and $ hunt",False,2022-11-02 16:04:18,"This app is home to over a million chatbots. If you have the patience to get through them, there are scores of foreigners on the hunt for American husbands. The app also cannot decide whether it is social media or connections; you have a primary inbox and then some other inbox and either can have messages you may or may not know about but as you check them you are greeted with an ad every other message. This could be why the chatbots are deployed. Rather pathetic and if you expect it to deliver 😜 other ways 😜 the path through drivel is a loooooong road to ho.",,1
13,1,Guten Morgan,"Here a Bot, There a Bot, Everywhere a Bot, Bot!",False,2018-09-01 00:49:43,"Here a Bot, There a Bot, Everywhere a Bot, Bot!  

Update 2018:  My buddy and I have a bet. Will you help settle it?  I say that 75 % of the guys on here are fake. Cat fishing. Robots. 

He says it’s at least 85%. Which is it?  Or is it higher?  

If I were to go off of the contacts I get, it’d be 100%. Can’t you fix that?  I have better luck with Sister Betty Bower’s Prayer Phone List!!!  SAD!

———————

A year ago, this site was much better. I decided to stay on the other night and was contacted by almost 20 men!  Yeah!  Except they were all from overseas, most “serving in Army” and wanted me to join them on KIK or Google or Text. Of course, that is when they get your info and start sending links to spam you and ask for money. None ... NONE were legitimate people. None ... NONE were local people. All ... ALL were fake (stolen) profiles. Yes, they were THAT obvious and they all followed the same pattern. 

Fix this and you’ll be a good site again.",,1
14,1,Johnathandjvisonfvuonfevunfe,Run by close-minded liberals,False,2022-02-05 15:36:41,"On a post about how the Wachowski Brothers became the Wachowski sisters I left a comment outlining all the reasons why they are setting a bad example for others and why going through gender reassignment is a bad idea, for example the suicide rate is 20 times higher among those who have gotten gender reassignment versus those who haven't, but the Hornet community doesn't care about having an open discussion, they don't care about freedom of speech. For them if you don't fall in line with the talking points of the Democratic party, no matter how insane they are, you should be silenced.",,2
15,1,Haskell54,Lots of fake profiles.,False,2020-01-05 17:18:55,"I’ve been on this app for about a month.  I have to say more than 75% of people reaching out to me are fake profiles.  When I ask them where there from I have gotten the exact response each time.  “I’m on a Peace keeping mission overseas and will be back in the states soon”.   You can almost here there accent in the way they write, and don’t forget about the really bad spelling.  Had one guy say he was from “Texas, Houston”. When I corrected him, he told me I was incorrect.  I emailed the editor of this app and explained the recurring problem, he responded with BYE!  This app is a joke, don’t waste your time...",,1
16,1,DJJD1023,Needs serious improvement,False,2018-12-24 15:43:15,"Could be so much better. Needs a few changes to really compete with other apps:
-ability to delete recently sent pics (you should be able to curate these so one off photos can be eliminated)
-the ability to paste in text is crucial if you’re translating and yet has not worked since the last few updates. WHY?! Bring it back.
-built in translator would be stellar and nobody is doing it (could be huge selling point)
-blocking mechanism is slow (figure out how to make it faster)
-search doesn’t refresh automatically as it should
-there seem to be way too many clicks to do something and then even to go back - someone should try to improve user experience by decreasing clicks needed for any action
-I’ve got tons of ideas. Feel free to reach out if you’d like help. Applied for beta testing but haven’t heard anything.",,2
17,1,XxFemmyFoxX YouTuber,If I could give 0 Stars I would here’s why,True,2018-04-26 05:32:35,"The app randomly suspended my account for “public pictures breaking the guidelines”... 
My profile does NOT break any rules of this app I NEVER EVER EVER send nudes or publicly post nudes. All my pictures are of me and they are 100% CLEAN from the waist up ALWAYS, or pictures from my personal life with either my best friend or CLEAN AND FRIENDLY social media posts. They have absolutely no reason to suspend my account, I’ve never ever violated any terms!!!! If you read this... Please give me back my account!!!! 
NONE OF THE PICTURES ON MY PROFILE BREAK THE TERMS OF THE APP AND NONE KF MY PICTURES BREAK THE GUIDELINES!!!","{'id': 3258223, 'body': 'Hi! Thank you for your feedback. Please contact us at feedback@hornet.com for further investigation.', 'modified': '2018-04-26T05:32:35Z'}",1
18,1,RavenHale,Bad reviews scared me off,False,2022-03-17 03:19:32,"I recently installed this app and was going to sign up for premium but I decided to check the reviews first and judging by the overwhelming negativity and the lack of responses to these claims about this app I will not only not be going premium but I will be deleting this app as soon as I am finished writing this, some of these issues seem pretty severe I suggest that you address and seriously work on resolving them because I see I am not the first and doubt I am the last that will be scared away by this",,2
19,1,Suiew1977,This app needs a better update,False,2018-11-18 17:34:32,"This app needs to be reformed and updated. It’s been so hard to sign up and to login to that I quit using this app altogether. 

I would love to see this app to be more intuitive to use, and not ask me about my outside social media, because I don’t know what you’re doing with my information. 

Also Hornet app should no longer requires you to have a Facebook account in order to enable it, So many people have left Facebook. As among many others issues I and the majority of my friends have with this app.",,2
20,3,milotunes,Spam is out of control,False,2018-01-18 15:52:51,"The app itself is fine, and I used to use it quite regularly. Recently, however, spam (fake profiles asking you to visit a website) is out of control. I've turned off notifications because of it; please work on a filter to get back to how good the app used to be.",,3
21,2,Ssalehi85,Fake profiles,False,2018-04-20 13:28:14,"So many fake profile and yet the developers are not interested in putting more security to get ride of them, all you need to do is type and email address and pass and boom! You are in.
Also i have no idea who is monitoring the photos, i guess its computer generated because i put photo with cloth on and it says it has violated the rules and deleted my photos, seriously guys, work on your app for pit sakes, or maybe its another fake Chinese company ...",,1
22,1,Andrey12,Terrible app. Full of fakes.,False,2018-03-06 23:29:52,This app has more fake profiles than real ones and the app owners don’t even try to keep the scammers out. Almost every single guy so far since I’ve been on this app has been a fake. Always says they are close but then they say they are in the military over seas and will be back in a month.  Yeah right. They need to start banning these apps until they start monitoring the profiles for fakes.  Thanks for allowing yet another loser to create a profile and waste another month of my time.,,1
23,1,Awaken !!!,Please join us to boycott this app,False,2022-03-14 12:51:09,"Guy! Please join us to the big LGBTQ campaign to boycott this abusive app, the way this app treats its members is just very abusive by bombarding very annoying ads that pops up every 15 seconds!!! Ot is offensive and abusive approach to use its members as just a tool to monetize the app and not any dignity! 
The campaign is supported by great LGBTQ celebrities allies on March 28th.
The further info will be announced and get viral soon by our great celebrities allies! 
Time to stand for our right and not becoming just a tool on their hand! 
Cheers",,1
24,5,Siri reference,Great app,False,2018-11-11 03:42:50,"For me the last thing I want to do is pay for a gay dating app! This app is great because it’s free for the basic version. If you want more options then you’ll simply have to subscribe. I think it’s a great way to have more people using this app, Thanks hornet team!",,5
25,1,Makia.US,Your privacy oays the bills.,False,2020-08-06 06:56:13,While using the app including their media partners asks your consent for cookies. But when you delete Hornet app from your phone using the settings menu your profile and cookies stay on your phone. There is no way to delete them. When you login with a fresh app install all your tracking data cOmes back live and the app doesnt even ask for your password to login. Your privacy pays the bills.,"{'id': 17149254, 'body': 'The issue you describe is not a Hornet app fault or Hornet privacy issue. It is a known issue on iOS devices. A quick internet search will explain how you can remove data from your device, after you have uninstalled an app. Rather than go through that procedure however, If you wish to completely remove all data, then it can be easily done through the Hornet app. Go into your profile, then Settings, then Account, then choose Delete Account. This will fully and permanently remove the data. You can also write to us at feedback@hornet.com and we will do it for you. ', 'modified': '2020-08-07T18:29:04Z'}",1
26,1,Vespos3000,Unusable,False,2022-10-17 18:09:28,"Used this app for years, but few latest updates completely broke it. It lags, it freezes, it’s not loading properly and most of all - it drains battery like no app on my phone. 
I like the community but the experience is completely ruined by these latest changes. 
And though developers say they fix issues with latest updates - well, it still has it, so no fix yet",,2
27,2,LanceInMN,Recent updates are buggy,False,2022-10-02 18:47:58,"After the last update or two, Hornet has been less responsive and more prone to crashing. It freezes at times while typing a response in chat. Also does not appear popular in my area. I live in a metro area and everyone with 100 miles of me fits on less than a full page. Perhaps it’s more popular in Europe.",,2
28,1,mc4asia,Constant Long Ads / Needlessly Complicated,False,2022-03-13 17:25:08,"Hornet’s ads run about 3 times as long as G’s, but the app isn’t three times better. It’s actually quicker to close the app and start over. 
Plus they have this strange way of dividing chats into Primary and requests and new ones are easy to miss.  It’s like the IT guys are justifying their jobs by creating that worthless feature. 
Hornet: you’re not going be a player if your game is at this level.",,3
29,1,Razaelo,Absolute disgusting,False,2021-02-18 14:48:23,"As an old hornet user, the app was better two yrs ago, but it getting worse and worse day by day! Unfortunately, Hornet became a good place for showing nudity and prostitution! as the Lgbt community members, every time I open the app I feel uncomfortable and disgust!
It becomes a good place for showing
body Private parts and nudes!
Is it a dating app or anatomy photo albums ?!
I wonder why Hornet never do something to solve this problem permanently ?!",,1
30,1,IamWJC,Do not sign up with a legit email!,False,2017-10-31 12:48:31,"I signed up, used my primary email address. The app was ok, but I didn’t really find the value in it. So I deleted the app.

But now I keep getting emails! I have clicked the unsubscribe button at least 5 different times and each time I’m told I’ve successfully unsubscribed. But then a week or two later, I get another email!

The app is ok, but DO NOT sign up using your primary email address, create one specifically for spam first!",,2
31,5,BENVNU,Good for socializing,False,2022-04-30 22:35:16,"Thanks for the site, wish we could open the option of only seeing top or bottom sections as filter without charge.",,3
32,1,JasonAsher,Awful App - Nothing But Adverts,False,2018-12-31 23:00:29,"This app is plain awful.  You look at the app, thinking you have 6 new messages, and then open it up only to find it’s six different advertisements in your inbox, from various Hornet partners, but including Hornet as well.  If you like being inundated with SPAM, then this app is definitely for you.  Hornet says they’re working on this “problem,” but it only gets worse, it seems.  Garbage app!  Find something better.",,1
33,1,Chase Babb,Yikes,False,2020-02-04 08:11:52,This app and service have fallen far. Create a fresh account on competing apps. What hornet shows is vastly different from the others. Nothing but fake profiles. Some of these are female. The grammar and spelling errors give it away. The last time I used hornet was over two years ago. They’ve divided the inbox during that time. What for? I used the app for all of a day and was ready to uninstall. Nothing could convince me to stay in it’s current state.,,2
34,2,Descriptions not truthfull,Great idea.... but,False,2018-04-17 03:02:13,"I know this would be very difficult to control, but every single person that contacted me via the app has been a “catfish” situation. Everyone is at least 6000 plus miles away and has a hot picture. (Most harvested from the internet)When in conversation I am ask for money or cell phone and even a car! So sad that we can’t have a legit dating app... 😱",,1
35,1,john 1221122222,Horrible  gay app,False,2022-11-30 06:52:47,"This app is not very good period one or two clicks to get an ad pop-up that takes 20 seconds need to click twice again period so I would suggest you look for a different app period to sit here and spend the Maritime I am trying to talk to nobody and then there’s nobody around my area is pointless so I have deleted the app I will say goodbye 

go to Grindr or go to a gay barb you’ll have better results",,1
36,1,TysonLove7,*READ!* you have been warned!,False,2020-02-11 05:16:29,"There are bunch of fake accounts and scammers on this app! Been receiving their messages every 30 minutes which was annoying! I received a few messages who are local however those pictures weren’t real. It is impossible to find someone from this app. Hornet, you MUST take this action seriously and clean up the mess this caused!",,1
37,1,fenrispuppy,Believe the bad reviews.,False,2018-11-03 08:14:34,"They seem to have fixed the spambot problem that others have cited...at least for now, but your inbox will probably have more advertisements and creepers than hot men.

AND Hornet will reject your profile picture without explaining why, while your picture is  good enough to pass muster on Grindr and Scruff. Seriously, use Grindr and Scruff. I haven’t met one guy worth my time on this craptastic app, it even makes Jack’d look good.",,4
38,1,Meh1234,Too much spam,False,2019-10-26 02:15:40,"I’m probably going to delete my account soon because the past week alone I have gotten 6-10 spam messages a day, and after I report them I get another message (per report) from “Hornet Moderation” thanking me for reporting them. Like Jesus. I don’t want this many fake messages. 
And deleting them all each day takes up too much time - this app is terrible now. What’s the point of keeping it?? 😔👎👎👎👎",,1
39,1,LarryAllenW,The Apps just a money grab,False,2019-11-24 11:04:00,This app preys on gay men being lonely like most of these apps and in order to see basically any profiles you need to pay for premium while they also have advertisement everywhere. This app use to let you see everyone in your area now it cost money to see everyone. Most these apps are just preying on gay men being lonely and willing to pay to see everyone I doubt this is even ran by a gay person,"{'id': 12169340, 'body': ""Hello LarryAllenW. Thanks for the review. You can write to us at feedback@hornet.com and we can give you tips and help on how to get the most out of the free version of the app. We need paygates and ads to earn revenue, otherwise there is no money to operate the app. We absolutely do not prey or exploit our users. The majority of Hornet staff identify as LGBTQ, including the CEO and CFO. It's a gay run company."", 'modified': '2019-12-02T23:18:56Z'}",1
40,4,nevikk,Great app + awesome features,False,2018-08-13 21:40:31,"One of the best location-based dating apps out there. Unlimited profiles to see, unlimited blocks and a wide international user base, there’s nothing to complain about. A larger population of active users would be the only way to improve the app.",,5
41,3,Goodboy684,Last update,False,2021-10-30 23:48:24,I can’t send pictures in chat after the last update this problem is only on iPad and happened after the last update,,1
42,2,Jb2012@@,Getting worse,False,2021-10-30 00:25:42,"Has potential to be a good app, but very annoying ads that take forever to go away and are full page, more fakes then I care to count, likely will delete the app soon, to annoying with those full page forever ads and fake profiles",,2
43,2,Blackjack34212,Clickbait “Queer”,False,2022-03-16 14:55:51,"It’s Grindr but with Instagram stories. It advertised as “Queer” dating which would include more genders than just men, it also claimed LGBTQ status but thats not true either, no representation of the L or even much of the B T or Q. Just G. I’m pansexual so that’s disappointing. The UI is meh too. It could be a cleaner and more streamlined app + it should allow for more diversity. 2/5",,2
44,3,Santa Cruz Joe,Bot Central!,False,2018-05-21 07:32:41,"This used to be my fave social networking app, combining the best features of several others. But for some time now, about 5 out of 6 greetings come from bots. There’s a bot mill about 7600 miles from me where every guy is earnestly in love with me. Once in a while I get to chat with a guy near me.",,2
45,5,SeattleSean,Finally a gay app different from the rest,False,2019-10-09 14:26:34,Love the photo stream and content sections. Plenty of nice people to talk to for a change from other apps. Dig the hashtags. Way better than Grindr,,5
46,1,Dnsnsna,Taking down photos which are up to guidance standards.,False,2018-12-30 10:15:25,"Horrible moderation team. They twice blocked my picture saying that it's not meeting the guidance. This was a pictures of me in swimming trunks. I have this picture on Instagram, Facebook, and the most bizzar part I had it on hornet in the past just deleted it. Twice the same thing. Get yourself new moderators and fire the current ones",,1
47,1,nadandeo,Latest update removed in app Notifications option,False,2020-07-25 18:15:56,"Latest update removed in app Notifications option

Now you can not discretely check notifications easily when you want to

Now only choice is to receive notifications outside the app through iPhone",,3
48,2,grillmaster5005,Location not accurate,False,2018-08-30 12:00:13,All of us sudden app is showing me people 100+ miles away and never anybody close.  I have checked my location settings and have uninstalled and reinstalled a several times and still having the same problem,,1
49,1,Playklax,Terrible,False,2022-11-23 20:54:44,"The only thing I’ve gotten out of it is 3 romance scams (that were fun to play with), but with the latest updates I can barely open the app without it hanging and freezing forever. Don’t have the time for that, deleting.

Edit: The extreme slowdowns appear to be when connected to Wi-Fi.  If cellular only, I’m not getting them.",,1
50,3,scottie1217,Cancel my app account,False,2019-01-29 16:30:21,How can I cancel my app account here because I am not using this website any longer due to it caused me trouble this past year. So can you please let me know how to stop this account from now on.,,1
51,1,iranian bobi,Request to reduce in-app ads,False,2022-02-24 18:26:20,"This app is our only refuge for gays in Iran and other countries, and recently, your many and tedious advertisements have made us all upset and angry, and many of my friends have deleted their accounts in the Hornet app because of this much advertisement.  Finish this dull and excessive ads, thank you",,1
52,2,Chromeo22,Doesnt work on 8plus,False,2017-12-04 09:53:23,"I have been trying to use it with iPhone 8+ but location services doesnt work properly. Is always showing people from my neighborhood even when I’m travelling, on top of blocking guys. On iphone 5 is working nice and i can see people without problems and limits.",,3
53,5,Xcl888,Best hookup site,True,2021-12-03 21:22:56,This the best hookup site. It allows multiple private pictures.,"{'id': 87016, 'body': 'We are blushing! Thank you for the kind comment!', 'modified': '2021-12-03T21:22:56Z'}",5
54,1,kevinc1218,Can’t turn off notification where someone checks you out.,False,2019-04-21 05:33:03,Each day I receive a notification that xxxx checked my profile.  Please disable this insanely annoying notification.  I only want to receive notifications from a direct message.,,1
55,1,DXQP5421,Lots of SPAM,False,2018-05-14 09:56:04,"Every time the amount of spam received is increasing, and one doesn’t have the ability to report them as spam, I mean they all come with the same text and a website as bait. And there they want your credit card information. There must make a stop on these practices.",,1
56,1,TG1456,Bad App,False,2017-11-17 22:56:49,"I heard this was a great app to network with other gay people, not just a hookup app.  Apparently not, I guess I am too old (or not good looking enough) for this site because my profile pic was rejected for not meeting the TOS, and it was simply a face shot.  I deleted the app immediately. The hype for this app as being different is clearly a disappointment.   Move on.",,2
57,5,Pashtoon Durrani,Interesting,False,2022-05-17 05:30:09,Found,,4
58,1,Rousaryan,No help without login?!,False,2020-09-03 15:37:24,"Hi
There is somebody who made an fake account on ur app with my data, and also noted my phone number there. I tried to contact you guys, but it required to sign in. As I’m straight, I do not want to have any account on ur app. But I need your help to remove that account which caused me too much trouble, would u please help me?🙏🏻","{'id': 17702903, 'body': 'You can write to us at feedback@hornet.com. Our email address is displayed on all of our FAQs, which do not require a login. We also regularly reply to reviews on here, giving our email address. We will be happy to remove the account with your details. Please contact us and give us the information we need to trace the account. To repeat, our email address is feedback@hornet.com', 'modified': '2020-09-04T23:36:49Z'}",1
59,1,Drew Hood,UI is terrible,False,2018-01-04 05:12:44,"These folks need to reread Apple’s Human Interface Guidelines. The UI is confusing, and somehow feels like it wasn’t designed for iOS at all. Worst of all, the developers have some long running process frequently executing on the main thread and blocking the UI. 

Whoever’s in charge here, fire your developers and designers and hire all new ones.",,1
60,4,TICiCi,"Good app, needs more users",False,2022-06-07 04:51:52,The design is nice there’s just not many in my area compared to Jack’d or even Scruff.,,4
61,5,desire44234,Happy being on this great platform,False,2021-04-10 13:09:45,I’m already enjoying my moment here here .. Great work  Hornet..,,5
62,1,gaving0101,The none stop Ads is driving me crazy,False,2022-04-20 15:13:25,"This App is too greedy on the Ads & memberships income, sad for us who couldn’t pay for membership ppl… 

Before u download it, you have to watch out for the Ads you’ll gonna see… Which will drive you mad",,2
63,1,sillyrat,Account wrongly suspended; insulting treatment.,False,2018-03-28 18:11:26,"They suspended my account with no warning and accused me of being a spammer, which I am most definitely not. They wouldn’t show me any proof, and simply ignored two-thirds of my emails. Finally offered to restore my account “as long as I don’t do it again”, at which point I deleted the app. Pathetic.",,1
64,3,AAEM97,Social media,False,2017-10-08 16:58:14,I like the app a lot I just wish they had the option to add social media like Instagram to your profile so you can make sure your not being catfished,,4
65,1,Mr whizzlecheeks,Hornet is a joke,False,2018-04-29 10:23:03,"I recently uploaded a shirtless photo of myself. No explicit nudity. And my photo was removed along with a message saying that I violated the photo guidelines. Yet, there are numerous guys shirtless on this site with no issues. I have even seen a photo of a dude groping himself through his shorts, fully aroused, and this did violate the photo guidelines, but was never removed.","{'id': 3383255, 'body': 'Hi! We would like to know more about your experience with Hornet. Please email to feedback@hornet.com. Thank you.', 'modified': '2018-05-07T14:15:03Z'}",1
66,1,543j,Have to pay?,False,2017-09-23 13:28:57,"Hornet now makes you pay to see more guys, you get a limited number of profiles nearby that you can see and you have to pay to see more. You used to be able to see as many profiles as you want, probably deleting soon.",,4
67,1,Limerickcityboy,Endless fake ads,False,2018-10-23 12:00:50,"24 ads from fake profiles in one day, all saying the same thing. I have reported 10, and then got sick of it. These people clearly could not care less that their app is infested with fake accounts diverting users to unpaid advertising.                  Total crap customer service.","{'id': 5691734, 'body': 'We are sorry about the spam messages on Hornet. Fixing the problem is our top priority and we are working around the clock to fix it. Thanks for hanging on in there with us!', 'modified': '2018-10-28T15:05:09Z'}",1
68,3,Houssam Dubai,Character size,False,2018-07-06 10:17:33,Characters are appearing very small and very hard to read. Tried to change font size from settings.  Didn’t help.,,2
69,5,gdenjis,Surprising response,False,2022-06-20 10:09:30,Good app didn’t think I’d find so many ppl around me,,4
70,1,Schio Alves,Please don't stop the music,False,2021-09-19 17:52:29,"Not only is this app each day less useful since it decided to be a social network for the greedy for attentions ok ntead of meeting people, now it pauses the media playing on device everyone you open the app",,2
71,1,melhall1990,Hornet,False,2018-08-10 11:27:51,"Worst app ever! I uploaded a face picture 3 times and was told that my picture was breaking the photo guidelines. So if my face picture is breaking photo guidelines, so should everybody else’s photo, but, it’s cool, I didn’t waste anymore time and deleted this app. It’s a waste of time and it only caters to white guys, that’s a no-go for me","{'id': 4633782, 'body': 'Hi @melhall1990! Please email to feedback@hornet.com for more details. Thank you.', 'modified': '2018-08-13T15:14:55Z'}",1
72,1,Typhanus,Pay to see more?,False,2017-10-17 15:04:03,"Now you added that you need to pay quite a bit of money to be able to view more profiles? No thanks. Maybe if this app had as many people on it that Grindr does, then I might. Until then, thanks but no thanks",,2
73,1,DutchUT,Dumb app. 99% bots,False,2018-10-16 16:24:07,I guess there was no need for yet another social media app but I tried anyway. For the past two months It’s all ads and bots. Such a royal waste of time! And notifying the app makers/managers doesn’t matter - I believe the makers are well aware and get plenty of money to run the ads and fake accounts.,,1
74,1,Annoyed user 🤦🏻‍♂️,Frustrated,False,2017-10-08 06:18:14,"Hornet used to be my favorite app because it was different and would let me explore guys from different areas. No longer, as now I have to pay monthly to view more than the small amount of given guys. Pretty much done using this app now.",,4
75,1,JRF_USA,It was good but ….,False,2022-11-25 10:08:17,"The recent ads that completely block the screen are much worse than in the past; they totally disable the app. Come on, you can do better than that.",,2
